County,ProseWords,PageTitle,Error
Antrim,2435,County Antrim,
Armagh,1739,County Armagh,
Carlow,8125,County Carlow,
Cavan,2502,County Cavan,
Clare,2875,County Clare,
Cork,2610,County Cork,
Donegal,6319,County Donegal,
Down,1635,County Down,
Dublin,11384,County Dublin,
Fermanagh,1610,County Fermanagh,
Galway,1377,County Galway,
Kerry,3444,County Kerry,
Kildare,1577,County Kildare,
Kilkenny,6436,County Kilkenny,
Laois,2356,County Laois,
Leitrim,1178,County Leitrim,
Limerick,3416,County Limerick,
Londonderry,1784,County Londonderry,
Longford,1022,County Longford,
Louth,2863,County Louth,
Mayo,4758,County Mayo,
Meath,10667,County Meath,
Monaghan,1126,County Monaghan,
Offaly,2372,County Offaly,
Roscommon,899,County Roscommon,
Sligo,1110,County Sligo,
Tipperary,1361,County Tipperary,
Tyrone,788,County Tyrone,
Waterford,610,County Waterford,
Westmeath,1335,County Westmeath,
Wexford,2978,County Wexford,
Wicklow,4016,County Wicklow,
