County,Words,PageTitle,Error
Antrim,2998,County Antrim,
Armagh,,County Armagh,Empty extract returned.
Carlow,,County Carlow,Empty extract returned.
Cavan,,County Cavan,Empty extract returned.
Clare,,County Clare,Empty extract returned.
Cork,,County Cork,Empty extract returned.
Donegal,,County Donegal,Empty extract returned.
Down,,County Down,Empty extract returned.
Dublin,,County Dublin,Empty extract returned.
Fermanagh,,County Fermanagh,Empty extract returned.
Galway,,County Galway,Empty extract returned.
Kerry,,County Kerry,Empty extract returned.
Kildare,,County Kildare,Empty extract returned.
Kilkenny,,County Kilkenny,Empty extract returned.
Laois,,County Laois,Empty extract returned.
Leitrim,,County Leitrim,Empty extract returned.
Limerick,,County Limerick,Empty extract returned.
Londonderry,,County Londonderry,Empty extract returned.
Longford,,County Longford,Empty extract returned.
Louth,,County Louth,Empty extract returned.
Mayo,,County Mayo,Empty extract returned.
Meath,,County Meath,Empty extract returned.
Monaghan,,County Monaghan,Empty extract returned.
Offaly,,County Offaly,Empty extract returned.
Roscommon,,County Roscommon,Empty extract returned.
Sligo,,County Sligo,Empty extract returned.
Tipperary,,County Tipperary,Empty extract returned.
Tyrone,,County Tyrone,Empty extract returned.
Waterford,,County Waterford,Empty extract returned.
Westmeath,,County Westmeath,Empty extract returned.
Wexford,,County Wexford,Empty extract returned.
Wicklow,,County Wicklow,Empty extract returned.
